Name,Inn,DRS,OAA
Ronald Acuña Jr.,1361,-2,-9
Steven Kwan,1352,16,9
Juan Soto,1345,-6,-9
Julio Rodríguez,1342.1,-5,12
Lane Thomas,1339.1,1,-2
Ian Happ,1338.1,2,-7
Kyle Tucker,1323.1,1,-5
Bryan De La Cruz,1299.1,-8,-7
Nick Castellanos,1292.1,-9,-7
Daulton Varsho,1280,29,11
Trent Grisham,1276,1,7
Corbin Carroll,1266.2,-3,4
Brandon Nimmo,1254.2,-7,1
Andrew Benintendi,1251.2,-3,-11
Myles Straw,1234.2,6,5
Leody Taveras,1226.1,3,6
Randy Arozarena,1219.2,4,-6
James Outman,1213.2,1,9
Luis Robert Jr.,1207.2,6,13
Fernando Tatis Jr.,1205.1,27,9
Michael Harris II,1205,2,5
Austin Hays,1195.1,5,-1
Adolis García,1185.2,6,2
Alex Verdugo,1170,9,1
Teoscar Hernández,1160.1,1,0
Seiya Suzuki,1146.2,2,2
George Springer,1139.2,2,0
Jack Suwinski,1113,-9,3
TJ Friedl,1090.1,1,5
Bryan Reynolds,1079,-1,-4
Eddie Rosario,1057,3,2
Hunter Renfroe,1053,-9,-5
Christian Yelich,1051,-3,4
MJ Melendez,1042.2,-14,-11
Brandon Marsh,1042.1,0,6
Joey Wiemer,1026,5,8
Brenton Doyle,1023.2,19,15
Esteury Ruiz,1005,-20,2
Kevin Kiermaier,981.1,18,13
Alex Call,974.2,7,8
Max Kepler,972.1,2,4
Lars Nootbaar,964,3,3
Michael A. Taylor,960.1,5,8
Will Brennan,954.2,0,2
Chas McCormick,945.1,5,4
Jordan Walker,923.2,-16,-14
Alek Thomas,920,5,4
Cedric Mullins,912,7,6
Randal Grichuk,897.1,-1,-7
Jesús Sánchez,888.1,5,1
Josh Lowe,881.2,3,-1
Michael Conforto,873,-1,-3
Kyle Schwarber,872.1,-21,-19
Matt Vierling,867.2,1,-1
Jarred Kelenic,867,3,0
David Peralta,839.2,8,-2
Jose Siri,834.2,0,10
Jake Meyers,807.1,5,9
Anthony Santander,799.1,1,-2
Ramón Laureano,797.2,10,0
Nolan Jones,793,10,-4
Jurickson Profar,788.2,-10,-14
Taylor Ward,787,1,3
Mike Yastrzemski,783.2,9,1
Lourdes Gurriel Jr.,778,14,1
Jazz Chisholm Jr.,775.2,-9,4
Jason Heyward,769,3,6
Riley Greene,764,-6,1
Harrison Bader,752.1,4,9
Akil Baddoo,747,2,0
Will Benson,742,-3,-3
Manuel Margot,734.2,-3,4
Jarren Duran,731,-6,0
Kerry Carpenter,723.2,-1,-3
Drew Waters,721.2,1,5
Masataka Yoshida,713.1,-4,-8
Kyle Isbel,710.1,13,11
Starling Marte,701.2,-7,-6
Mookie Betts,701.2,3,-1
Mike Tauchman,699.2,4,0
Jake McCarthy,697,1,0
Adam Duvall,692.1,-4,-3
Cody Bellinger,686,-3,2
Mike Trout,681,1,4
Mark Canha,680,3,-2
Mickey Moniak,664,6,4
Tommy Pham,660.2,0,-1
Aaron Hicks,651,-8,-3
Whit Merrifield,631,-4,-5
Travis Jankowski,622,6,4
JJ Bleday,622,-5,-3
Seth Brown,592.2,3,-2
Oscar Colás,589.1,-5,0
Oswaldo Cabrera,589,-2,-1
Jake Fraley,586.1,-4,2
Luis Matos,581.1,-10,-5
Willi Castro,576.2,0,-2
Tyrone Taylor,576.1,4,2
Aaron Judge,573.1,-4,-1
Isiah Kiner-Falefa,566.1,-4,-2
Stuart Fairchild,566,1,3
Dylan Carlson,549,1,1
Corey Julks,545,3,0
Connor Joe,543.1,-3,1
Tyler O'Neill,534.2,-1,0
Stone Garrett,530.2,5,0
Robbie Grossman,523.2,-9,-5
Gavin Sheets,518.1,-4,-2
Joshua Palacios,509,0,0
Luke Raley,504.1,2,-2
Jeff McNeil,501.1,3,2