"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Connor Joe","656582","NA","3","First Baseman","162","111","0","0","0","11","0","40","0","51","92.8","76",,,,,,,,"90.2","90.2"
"Matt Vierling","663837","NA","5","Third Baseman","95","0","0","42","0","6","32","15","42","53","90.6",,,,,,,,,"86.3","86.3"
"Willi Castro","650489","NA","6","Shortstop","179","0","0","23","69","29","58","0","92","87","93.9",,,,,,"90.6",,"84.1","89.1","89.1"
"Ian Happ","664023","NA","7","Left Fielder","141","0","0","0","0","141","0","0","0","141","86.1",,,,,"82.9",,,,"82.9","82.9"
"Luke Raley","670042","NA","7","Left Fielder","99","13","0","0","0","57","1","28","0","86","97.2",,,,,"87.2",,,,"88.3","88.3"
"Seth Brown","664913","NA","7","Left Fielder","130","0","0","0","0","93","0","37","0","130","88.2",,,,,"79.8",,,,"80.3","80.3"
"Adam Duvall","594807","NA","7","Left Fielder","78","0","0","0","0","56","0","22","0","78","90.3",,,,,"85.5",,,,"87.1","87.1"
"Austin Hays","669720","NA","7","Left Fielder","53","0","0","0","0","52","0","1","0","53","92.3",,,,,"88.6",,,,"88.6","88.6"
"Evan Carter","694497","NA","7","Left Fielder","99","0","0","0","0","80","5","14","0","99","88",,,,,"84.4",,,,"83.8","83.8"
"Jordan Beck","687597","NA","7","Left Fielder","58","0","0","0","0","55","3","0","0","58","90",,,,,"87.2",,,,"87.2","87.2"
"MJ Melendez","669004","NA","7","Left Fielder","116","2","0","0","0","111","0","3","0","114","95.9",,,,,"92.7",,,,"92.7","92.7"
"Nick Gordon","624503","NA","7","Left Fielder","95","0","8","0","0","86","1","0","8","87","90.4",,,,,"84.7",,,,"84.7","84.7"
"Nolan Jones","666134","NA","7","Left Fielder","75","0","0","0","0","75","0","0","0","75","98.7",,,,,"97.1",,,,"97.1","97.1"
"Steven Kwan","680757","NA","7","Left Fielder","81","0","0","0","0","81","0","0","0","81","92",,,,,"87.2",,,,"87.2","87.2"
"Taylor Ward","621493","NA","7","Left Fielder","162","0","0","0","0","162","0","0","0","162","90.5",,,,,"86.4",,,,"86.4","86.4"
"Alex Verdugo","657077","NA","7","Left Fielder","149","0","0","0","0","145","4","0","0","149","96.1",,,,,"90.2",,,,"90.2","90.2"
"Chris Taylor","621035","NA","7","Left Fielder","58","0","2","3","0","49","4","0","5","53","92",,,,,,,,,"86.8","86.8"
"Jesse Winker","608385","NA","7","Left Fielder","108","0","0","0","0","108","0","0","0","108","93.1",,,,,"87.3",,,,"87.3","87.3"
"Riley Greene","682985","NA","7","Left Fielder","88","0","0","0","0","82","2","4","0","88","90",,,,,"82",,,,"83.3","83.3"
"Austin Martin","668885","NA","7","Left Fielder","74","0","2","0","0","26","46","0","2","72","91.2",,,,,,,,,"83.9","83.9"
"Brandon Marsh","669016","NA","7","Left Fielder","108","0","0","0","0","91","16","1","0","108","99.3",,,,,"88.1",,,,"89.6","89.6"
"Brandon Nimmo","607043","NA","7","Left Fielder","117","0","0","0","0","98","19","0","0","117","89.5",,,,,"86.7",,,,"87","87"
"Colton Cowser","681297","NA","7","Left Fielder","108","0","0","0","0","71","15","22","0","108","102.6",,,,,"92.4",,,,"96.2","96.2"
"Dairon Blanco","680118","NA","7","Left Fielder","55","0","0","0","0","38","14","3","0","55","85.9",,,,,,,,,"79.6","79.6"
"Jack Suwinski","669261","NA","7","Left Fielder","136","0","0","0","0","61","66","9","0","136","93.1",,,,,"85.9","87.8",,,"87.2","87.2"
"Spencer Steer","668715","NA","7","Left Fielder","158","50","3","0","0","105","0","0","3","105","94.8",,,,,"89.5",,,,"89.5","89.5"
"Tyler O'Neill","641933","NA","7","Left Fielder","87","0","0","0","0","53","0","34","0","87","93.5",,,,,"86.2",,,,"88.7","88.7"
"Alex Kirilloff","666135","NA","7","Left Fielder","78","27","0","0","0","43","0","8","0","51","86.3",,,,,,,,,"83","83"
"Bryan Reynolds","668804","NA","7","Left Fielder","135","0","0","0","0","72","0","63","0","135","100.4",,,,,"90.1",,"89.7",,"90.2","90.2"
"Chas McCormick","676801","NA","7","Left Fielder","70","0","0","0","0","54","15","1","0","70","87.3",,,,,"81.8",,,,"82.6","82.6"
"Cristian Pache","665506","NA","7","Left Fielder","51","0","0","0","0","32","18","1","0","51","93.9",,,,,,,,,"91.8","91.8"
"Daulton Varsho","662139","NA","7","Left Fielder","166","0","0","0","0","77","89","0","0","166","94.2",,,,,"85","83.5",,,"84.5","84.5"
"Jarred Kelenic","672284","NA","7","Left Fielder","98","0","0","0","0","98","0","0","0","98","95",,,,,"90.8",,,,"90.8","90.8"
"Brendan Donovan","680977","NA","7","Left Fielder","115","0","16","13","0","86","0","0","29","86","91.6",,,,,"84.6",,,,"84.6","84.6"
"Davis Schneider","676914","NA","7","Left Fielder","154","0","65","0","0","89","0","0","65","89","89.9",,,,,"84.8",,,,"84.8","84.8"
"Randy Arozarena","668227","NA","7","Left Fielder","173","0","0","0","0","153","20","0","0","173","89.7",,,,,"82.3",,,,"82.4","82.4"
"Christian Yelich","592885","NA","7","Left Fielder","59","0","0","0","0","59","0","0","0","59","86.1",,,,,"83.8",,,,"83.8","83.8"
"Jurickson Profar","595777","NA","7","Left Fielder","76","9","0","0","0","67","0","0","0","67","93.9",,,,,"90.2",,,,"90.2","90.2"
"Michael Conforto","624424","NA","7","Left Fielder","95","0","0","0","0","95","0","0","0","95","94.3",,,,,"90.6",,,,"90.6","90.6"
"Andrew Benintendi","643217","NA","7","Left Fielder","161","0","0","0","0","161","0","0","0","161","87.5",,,,,"84.4",,,,"84.4","84.4"
"Lourdes Gurriel Jr.","666971","NA","7","Left Fielder","159","0","0","0","0","159","0","0","0","159","91.7",,,,,"86.5",,,,"86.5","86.5"
"JJ Bleday","668709","NA","8","Center Fielder","167","0","0","0","0","0","167","0","0","167","94.2",,,,,,"89.6",,,"89.6","89.6"
"Jose Siri","642350","NA","8","Center Fielder","132","0","0","0","0","0","132","0","0","132","99.1",,,,,,"93.2",,,"93.2","93.2"
"Andy Pages","681624","NA","8","Center Fielder","116","0","0","0","0","0","75","41","0","116","96.9",,,,,,"90.7",,,"90.7","90.7"
"Kyle Isbel","664728","NA","8","Center Fielder","121","0","0","0","0","0","121","0","0","121","88",,,,,,"83",,,"83","83"
"Luis Matos","682641","NA","8","Center Fielder","52","0","0","0","0","0","43","9","0","52","94.3",,,,,,,,,"90.5","90.5"
"Mike Trout","545361","NA","8","Center Fielder","75","0","0","0","0","0","75","0","0","75","95.4",,,,,,"84.2",,,"84.2","84.2"
"Tommy Pham","502054","NA","8","Center Fielder","69","0","0","0","0","3","58","8","0","69","90.4",,,,,,"85.4",,,"86.5","86.5"
"Aaron Judge","592450","NA","8","Center Fielder","118","0","0","0","0","9","109","0","0","118","93.5",,,,,,"85.9",,,"85.5","85.5"
"Jacob Young","696285","NA","8","Center Fielder","148","0","0","0","0","0","148","0","0","148","94.3",,,,,,"86.6",,,"86.6","86.6"
"Jake Meyers","676694","NA","8","Center Fielder","113","0","0","0","0","0","113","0","0","113","92.1",,,,,,"84.2",,,"84.2","84.2"
"Johan Rojas","679032","NA","8","Center Fielder","122","0","0","0","0","0","122","0","0","122","98.4",,,,,,"90.7",,,"90.7","90.7"
"Will Benson","666181","NA","8","Center Fielder","121","0","0","0","0","29","59","33","0","121","91.2",,,,,,"83.2",,,"84.6","84.6"
"Byron Buxton","621439","NA","8","Center Fielder","93","0","0","0","0","0","93","0","0","93","95.8",,,,,,"90.5",,,"90.5","90.5"
"James Outman","681546","NA","8","Center Fielder","84","0","0","0","0","0","84","0","0","84","93.7",,,,,,"88.7",,,"88.7","88.7"
"Jarren Duran","680776","NA","8","Center Fielder","175","0","0","0","0","75","100","0","0","175","92.8",,,,,"86.5","84.4",,,"85.6","85.6"
"Jonny DeLuca","676356","NA","8","Center Fielder","66","0","0","0","0","2","31","33","0","66","99.3",,,,,,,,,"91.6","91.6"
"Jung Hoo Lee","808982","NA","8","Center Fielder","110","0","0","0","0","0","110","0","0","110","99.7",,,,,,"94.2",,,"94.2","94.2"
"Kevin Pillar","607680","NA","8","Center Fielder","51","0","0","0","0","9","33","9","0","51","89.7",,,,,,,,,"86.6","86.6"
"Blake Perkins","663368","NA","8","Center Fielder","160","0","0","0","0","0","160","0","0","160","98.6",,,,,,"89.1",,,"89.1","89.1"
"Brenton Doyle","686668","NA","8","Center Fielder","185","0","0","0","0","0","185","0","0","185","100.3",,,,,,"97.3",,,"97.3","97.3"
"Leody Taveras","665750","NA","8","Center Fielder","196","0","0","0","0","0","196","0","0","196","96.8",,,,,,"91.4",,,"91.4","91.4"
"Michael Siani","672279","NA","8","Center Fielder","121","0","0","0","0","9","107","5","0","121","96.9",,,,,,"86.5",,,"85.9","85.9"
"Mickey Moniak","666160","NA","8","Center Fielder","98","0","0","0","0","8","62","28","0","98","92.4",,,,,,"83.8",,,"82.7","82.7"
"Tyler Freeman","671289","NA","8","Center Fielder","115","0","3","1","1","0","110","0","5","110","94.1",,,,,,"89.9",,,"89.9","89.9"
"Tyrone Taylor","621438","NA","8","Center Fielder","77","0","0","0","0","28","28","21","0","77","93.5",,,,,,,,,"90.8","90.8"
"Cedric Mullins","656775","NA","8","Center Fielder","116","0","0","0","0","0","116","0","0","116","89.8",,,,,,"84.5",,,"84.5","84.5"
"Cody Bellinger","641355","NA","8","Center Fielder","117","4","0","0","0","0","110","3","0","113","95.8",,,,,,"85.7",,,"85.2","85.2"
"Corbin Carroll","682998","NA","8","Center Fielder","166","0","0","0","0","0","155","11","0","166","86",,,,,,"81.7",,,"82.1","82.1"
"Harrison Bader","664056","NA","8","Center Fielder","121","0","0","0","0","0","121","0","0","121","95.1",,,,,,"90.8",,,"90.8","90.8"
"Parker Meadows","678009","NA","8","Center Fielder","65","0","0","0","0","0","65","0","0","65","92",,,,,,"84.7",,,"84.7","84.7"
"Wenceel Pérez","672761","NA","8","Center Fielder","88","0","0","0","0","0","44","44","0","88","89.1",,,,,,,,,"84.2","84.2"
"Garrett Hampson","641658","NA","8","Center Fielder","73","0","17","0","2","14","40","0","19","54","85.4",,,,,,,,,"81.7","81.7"
"Jackson Merrill","701538","NA","8","Center Fielder","116","0","0","0","0","0","116","0","0","116","99.2",,,,,,"89.6",,,"89.6","89.6"
"Kevin Kiermaier","595281","NA","8","Center Fielder","105","0","0","0","0","0","105","0","0","105","96.5",,,,,,"93.1",,,"93.1","93.1"
"Mauricio Dubón","643289","NA","8","Center Fielder","103","10","12","5","0","29","47","0","17","76","99.3",,,,,,,,,"90.8","90.8"
"Victor Scott II","687363","NA","8","Center Fielder","55","0","0","0","0","0","55","0","0","55","86.1",,,,,,"81.1",,,"81.1","81.1"
"Ceddanne Rafaela","678882","NA","8","Center Fielder","229","0","8","1","123","0","97","0","132","97","98.3",,,,"86.5",,"93.3",,"86.5","93.3","93.3"
"Dominic Fletcher","666150","NA","8","Center Fielder","66","0","0","0","0","0","51","15","0","66","92.3",,,,,,"88.1",,,"90.7","90.7"
"Julio Rodríguez","677594","NA","8","Center Fielder","174","0","0","0","0","0","174","0","0","174","97.9",,,,,,"90.1",,,"90.1","90.1"
"Stuart Fairchild","656413","NA","8","Center Fielder","98","0","0","0","0","2","73","23","0","98","94.7",,,,,,"84.1",,,"86.7","86.7"
"Jazz Chisholm Jr.","665862","NA","8","Center Fielder","155","0","0","0","0","0","155","0","0","155","93.2",,,,,,"86.2",,,"86.2","86.2"
"Michael A. Taylor","572191","NA","8","Center Fielder","116","0","0","0","0","0","116","0","0","116","101.3",,,,,,"90.1",,,"90.1","90.1"
"Michael Harris II","671739","NA","8","Center Fielder","178","0","0","0","0","0","178","0","0","178","95.7",,,,,,"87.2",,,"87.2","87.2"
"Pete Crow-Armstrong","691718","NA","8","Center Fielder","66","0","0","0","0","0","66","0","0","66","100.6",,,,,,"93.7",,,"93.7","93.7"
"Jo Adell","666176","NA","9","Right Fielder","118","0","0","0","0","0","6","112","0","118","91.1",,,,,,,"86.4",,"86.4","86.4"
"Jake Cave","595909","NA","9","Right Fielder","73","0","0","0","0","18","7","48","0","73","91.4",,,,,,,,,"85.5","85.5"
"Juan Soto","665742","NA","9","Right Fielder","172","0","0","0","0","0","0","172","0","172","88.6",,,,,,,"84.5",,"84.5","84.5"
"Max Kepler","596146","NA","9","Right Fielder","85","0","0","0","0","0","0","85","0","85","91.8",,,,,,,"87.3",,"87.3","87.3"
"Jake Fraley","641584","NA","9","Right Fielder","68","0","0","0","0","0","0","68","0","68","90.8",,,,,,,"88.8",,"88.8","88.8"
"Kyle Tucker","663656","NA","9","Right Fielder","158","0","0","0","0","0","0","158","0","158","90.1",,,,,,,"85.6",,"85.6","85.6"
"Lane Thomas","657041","NA","9","Right Fielder","76","0","0","0","0","0","0","76","0","76","96.8",,,,,,,"91.4",,"91.4","91.4"
"Sal Frelick","686217","NA","9","Right Fielder","140","0","0","3","0","27","39","71","3","137","92.5",,,,,,,"88.9",,"87.7","87.7"
"Tyler Nevin","663527","NA","9","Right Fielder","97","28","0","15","0","17","0","37","15","54","93.7",,,,,,,,,"87.7","87.7"
"Amed Rosario","642708","NA","9","Right Fielder","128","0","43","9","23","0","0","53","75","53","90.7",,,,,,,"88.2","83","88.2","88.2"
"Gavin Sheets","657757","NA","9","Right Fielder","103","34","0","0","0","0","0","69","0","69","91.6",,,,,,,"87.7",,"87.7","87.7"
"Seiya Suzuki","673548","NA","9","Right Fielder","72","0","0","0","0","0","0","72","0","72","95.4",,,,,,,"89.6",,"89.6","89.6"
"Will Brennan","686823","NA","9","Right Fielder","91","0","0","0","0","14","2","75","0","91","93.1",,,,,,,"87.8",,"87.2","87.2"
"Wilyer Abreu","677800","NA","9","Right Fielder","113","0","0","0","0","13","1","99","0","113","97.8",,,,,,,"94.3",,"93.7","93.7"
"Eddie Rosario","592696","NA","9","Right Fielder","125","0","0","0","0","39","29","57","0","125","91.8",,,,,,,"88.4",,"86.6","86.6"
"Jake McCarthy","664983","NA","9","Right Fielder","101","0","0","0","0","26","5","70","0","101","93.7",,,,,,,"84.7",,"83.2","83.2"
"Lars Nootbaar","663457","NA","9","Right Fielder","119","0","0","0","0","30","13","76","0","119","93.8",,,,,,,"87.5",,"87.9","87.9"
"Manuel Margot","622534","NA","9","Right Fielder","79","0","0","0","0","21","13","45","0","79","85.9",,,,,,,,,"82.7","82.7"
"Mike Tauchman","643565","NA","9","Right Fielder","105","0","0","0","0","22","15","68","0","105","89.8",,,,,,,"84.4",,"84","84"
"Mitch Haniger","571745","NA","9","Right Fielder","159","0","0","0","0","0","0","159","0","159","88.7",,,,,,,"84.2",,"84.2","84.2"
"Sean Bouchard","656248","NA","9","Right Fielder","65","0","0","0","0","13","0","52","0","65","88.9",,,,,,,"85.9",,"85.6","85.6"
"Adolis García","666969","NA","9","Right Fielder","114","0","0","0","0","0","0","114","0","114","97",,,,,,,"91.4",,"91.4","91.4"
"Hunter Renfroe","592669","NA","9","Right Fielder","136","0","0","0","0","0","0","136","0","136","94.9",,,,,,,"90.2",,"90.2","90.2"
"Randal Grichuk","545341","NA","9","Right Fielder","50","0","0","0","0","0","0","50","0","50","89.6",,,,,,,"84.3",,"84.3","84.3"
"Starling Marte","516782","NA","9","Right Fielder","124","0","0","0","0","0","0","124","0","124","96.8",,,,,,,"92",,"92","92"
"Edward Olivares","658668","NA","9","Right Fielder","74","0","0","0","0","1","0","73","0","74","96.1",,,,,,,"90.3",,"90.3","90.3"
"George Springer","543807","NA","9","Right Fielder","124","0","0","0","0","0","2","122","0","124","90.4",,,,,,,"85.9",,"85.9","85.9"
"Jackson Chourio","694192","NA","9","Right Fielder","152","0","0","0","0","27","0","125","0","152","95.2",,,,,,,"83.6",,"83.5","83.5"
"Jesús Sánchez","660821","NA","9","Right Fielder","101","0","0","0","0","0","0","101","0","101","93.8",,,,,,,"84.7",,"84.7","84.7"
"Kerry Carpenter","681481","NA","9","Right Fielder","84","0","0","0","0","5","0","79","0","84","95",,,,,,,"90.2",,"89.7","89.7"
"Lawrence Butler","671732","NA","9","Right Fielder","101","0","0","0","0","0","1","100","0","101","93.7",,,,,,,"87.6",,"87.1","87.1"
"Ramón Laureano","657656","NA","9","Right Fielder","56","0","0","0","0","0","20","36","0","56","93",,,,,,,,,"91.5","91.5"
"Richie Palacios","680700","NA","9","Right Fielder","123","0","57","0","0","17","0","49","57","66","88.5",,,,,,,,,"85","85"
"Robbie Grossman","543257","NA","9","Right Fielder","55","0","0","0","0","15","0","40","0","55","86.8",,,,,,,,,"83.9","83.9"
"Mike Yastrzemski","573262","NA","9","Right Fielder","99","0","0","0","0","0","0","99","0","99","88.9",,,,,,,"84.9",,"84.9","84.9"
"Nick Castellanos","592206","NA","9","Right Fielder","122","0","0","0","0","0","0","122","0","122","85.5",,,,,,,"82",,"82","82"
"Anthony Santander","623993","NA","9","Right Fielder","90","0","0","0","0","0","0","90","0","90","99.7",,,,,,,"89.2",,"89.2","89.2"
"Ronald Acuña Jr.","660670","NA","9","Right Fielder","144","0","0","0","0","0","0","144","0","144","100.2",,,,,,,"90.5",,"90.5","90.5"
"Fernando Tatis Jr.","665487","NA","9","Right Fielder","144","0","0","0","0","0","0","144","0","144","100.7",,,,,,,"96.5",,"96.5","96.5"
"Teoscar Hernández","606192","NA","9","Right Fielder","123","0","0","0","0","50","0","73","0","123","92.4",,,,,"83.1",,"89.3",,"87.5","87.5"
"Mark Canha","592192","NA","10","Designated Hitter","75","25","0","0","0","32","0","18","0","50","86.5",,,,,,,,,"84.5","84.5"
"Bryan De La Cruz","650559","NA","10","Designated Hitter","75","0","0","0","0","73","0","2","0","75","93",,,,,"88.9",,,,"88.9","88.9"